id,fid,h,a,date,league_id,season,h_goals,a_goals,team_h,team_a,h_xg,a_xg,h_w,h_d,h_l,league,h_shot,a_shot,h_shotOnTarget,a_shotOnTarget,h_deep,a_deep,a_ppda,h_ppda
10449,1294645,132,131,2018-12-02 17:00:00,3,2018,1,2,Eintracht Frankfurt,Wolfsburg,1.53625,1.72581,0.3234,0.2665,0.4101,Bundesliga,13,12,2,3,10,2,7.8,6.4286
10453,1294653,234,119,2018-12-03 19:30:00,3,2018,1,1,Nuernberg,Bayer Leverkusen,0.675448,1.39302,0.1638,0.2728,0.5634,Bundesliga,11,20,4,6,5,6,2.7857,12.6087
10459,1294663,123,233,2018-12-07 19:30:00,3,2018,3,1,Werder Bremen,Fortuna Duesseldorf,2.83748,1.37827,0.7538,0.1712,0.075,Bundesliga,22,12,9,3,5,4,19.5714,5.2593
10454,1294655,117,234,2018-12-08 14:30:00,3,2018,3,0,Bayern Munich,Nuernberg,2.8246,0.191129,0.9521,0.0417,0.0062,Bundesliga,21,4,8,1,21,2,66.7143,4.7667
10455,1294657,124,129,2018-12-08 14:30:00,3,2018,1,2,Schalke 04,Borussia Dortmund,1.44761,0.898668,0.5475,0.2886,0.1639,Bundesliga,6,9,3,3,5,3,9.2414,11.0345
10456,1294659,119,121,2018-12-08 14:30:00,3,2018,1,0,Bayer Leverkusen,Augsburg,1.53502,0.768373,0.5751,0.2569,0.168,Bundesliga,21,14,7,1,13,2,9.7778,6.2609
10460,1294664,135,136,2018-12-08 14:30:00,3,2018,3,0,Freiburg,RasenBallsport Leipzig,2.0335,1.23018,0.6008,0.2266,0.1726,Bundesliga,12,16,9,4,1,7,5.7931,11.8421
10462,1294666,131,120,2018-12-08 14:30:00,3,2018,2,2,Wolfsburg,Hoffenheim,0.515385,2.10256,0.0334,0.1316,0.835,Bundesliga,10,19,3,6,2,6,14.5238,15.4118
10458,1294662,122,132,2018-12-08 17:30:00,3,2018,1,0,Hertha Berlin,Eintracht Frankfurt,0.243455,1.12526,0.0724,0.3207,0.6069,Bundesliga,7,18,4,4,5,6,6.8696,8.75
10461,1294665,125,128,2018-12-09 14:30:00,3,2018,1,1,Mainz 05,Hannover 96,3.27966,2.23642,0.6241,0.1922,0.1837,Bundesliga,28,11,5,3,5,4,22.2308,4.2759
10457,1294661,130,133,2018-12-09 17:00:00,3,2018,3,0,Borussia M.Gladbach,VfB Stuttgart,2.61136,0.678537,0.8342,0.1207,0.0451,Bundesliga,23,7,7,2,9,6,38.8333,10.6667
10471,1294675,234,131,2018-12-14 19:30:00,3,2018,0,2,Nuernberg,Wolfsburg,0.601572,0.70077,0.265,0.4,0.335,Bundesliga,11,10,0,4,7,2,5.9355,25.9091
10463,1294667,120,130,2018-12-15 14:30:00,3,2018,0,0,Hoffenheim,Borussia M.Gladbach,3.933,0.584205,0.9655,0.0288,0.0057,Bundesliga,27,6,6,1,17,3,20.3333,7.7778
10466,1294670,133,122,2018-12-15 14:30:00,3,2018,2,1,VfB Stuttgart,Hertha Berlin,1.43807,1.53719,0.3301,0.2858,0.3841,Bundesliga,9,15,4,3,2,4,11.7778,9.3462
10468,1294672,121,124,2018-12-15 14:30:00,3,2018,1,1,Augsburg,Schalke 04,2.00924,0.758425,0.7085,0.1855,0.106,Bundesliga,15,15,9,5,7,5,8.4167,6.9429
10469,1294673,128,117,2018-12-15 14:30:00,3,2018,0,4,Hannover 96,Bayern Munich,0.628893,4.18084,0.004,0.0256,0.9704,Bundesliga,3,33,0,14,1,23,8.1818,26.2941
