match_id,is_result,home_team_id,home_team,home_team_short,away_team_id,away_team,away_team_short,home_goals,away_goals,home_xG,away_xG,match_datetime,forecast_win,forecast_draw,forecast_loss,league,year
10411,True,136,RasenBallsport Leipzig,RBL,124,Schalke 04,SCH,0,0,0.760107,0.754245,2018-10-28 13:30:00,0.3091,0.3681,0.3228,Bundesliga,2018
10412,True,123,Werder Bremen,WER,119,Bayer Leverkusen,LEV,2,6,1.49927,4.07211,2018-10-28 16:00:00,0.0478,0.0854,0.8668,Bundesliga,2018
10425,True,133,VfB Stuttgart,STU,132,Eintracht Frankfurt,EIN,0,3,1.02365,3.33128,2018-11-02 19:30:00,0.0393,0.0943,0.8664,Bundesliga,2018
10419,True,121,Augsburg,AUG,234,Nuernberg,NUE,2,2,2.61879,1.37885,2018-11-03 14:30:00,0.6858,0.1879,0.1263,Bundesliga,2018
10421,True,131,Wolfsburg,WOL,129,Borussia Dortmund,DOR,0,1,0.44332,1.19435,2018-11-03 14:30:00,0.1121,0.2842,0.6037,Bundesliga,2018
10422,True,117,Bayern Munich,BAY,135,Freiburg,FRE,1,1,1.8539,0.592458,2018-11-03 14:30:00,0.7149,0.2014,0.0837,Bundesliga,2018
10423,True,124,Schalke 04,SCH,128,Hannover 96,HAN,3,1,2.95181,1.18456,2018-11-03 14:30:00,0.7955,0.132,0.0725,Bundesliga,2018
10424,True,119,Bayer Leverkusen,LEV,120,Hoffenheim,HOF,1,4,2.21447,1.93557,2018-11-03 14:30:00,0.4368,0.2445,0.3187,Bundesliga,2018
10418,True,122,Hertha Berlin,HER,136,RasenBallsport Leipzig,RBL,0,3,1.79233,3.76073,2018-11-03 17:30:00,0.0914,0.129,0.7796,Bundesliga,2018
10426,True,130,Borussia M.Gladbach,BMG,233,Fortuna Duesseldorf,FOR,3,0,3.16198,0.719516,2018-11-04 14:30:00,0.8961,0.0768,0.0271,Bundesliga,2018
10420,True,125,Mainz 05,MAI,123,Werder Bremen,WER,2,1,1.54801,1.25758,2018-11-04 17:00:00,0.431,0.3052,0.2638,Bundesliga,2018
10432,True,128,Hannover 96,HAN,131,Wolfsburg,WOL,2,1,2.08751,2.99196,2018-11-09 19:30:00,0.1954,0.2143,0.5903,Bundesliga,2018
10427,True,120,Hoffenheim,HOF,121,Augsburg,AUG,2,1,1.82862,1.14191,2018-11-10 14:30:00,0.5452,0.2456,0.2092,Bundesliga,2018
10431,True,123,Werder Bremen,WER,130,Borussia M.Gladbach,BMG,1,3,1.50955,2.73709,2018-11-10 14:30:00,0.1565,0.1708,0.6727,Bundesliga,2018
10433,True,135,Freiburg,FRE,125,Mainz 05,MAI,1,3,1.86463,0.770571,2018-11-10 14:30:00,0.6654,0.2107,0.1239,Bundesliga,2018
10434,True,233,Fortuna Duesseldorf,FOR,122,Hertha Berlin,HER,4,1,2.89841,0.960102,2018-11-10 14:30:00,0.823,0.1243,0.0527,Bundesliga,2018
10435,True,234,Nuernberg,NUE,133,VfB Stuttgart,STU,0,2,0.434841,1.54977,2018-11-10 14:30:00,0.0765,0.2157,0.7078,Bundesliga,2018
10428,True,129,Borussia Dortmund,DOR,117,Bayern Munich,BAY,3,2,2.56191,1.84247,2018-11-10 17:30:00,0.5612,0.2428,0.196,Bundesliga,2018
10429,True,136,RasenBallsport Leipzig,RBL,119,Bayer Leverkusen,LEV,3,0,2.55127,0.443215,2018-11-11 14:30:00,0.8819,0.0933,0.0248,Bundesliga,2018
10430,True,132,Eintracht Frankfurt,EIN,124,Schalke 04,SCH,3,0,2.51248,0.609591,2018-11-11 17:00:00,0.8677,0.1074,0.0249,Bundesliga,2018
10438,True,119,Bayer Leverkusen,LEV,133,VfB Stuttgart,STU,2,0,2.62916,0.393762,2018-11-23 19:30:00,0.889,0.0873,0.0237,Bundesliga,2018
10436,True,117,Bayern Munich,BAY,233,Fortuna Duesseldorf,FOR,3,3,2.81107,1.36755,2018-11-24 14:30:00,0.7187,0.1685,0.1128,Bundesliga,2018
10440,True,122,Hertha Berlin,HER,120,Hoffenheim,HOF,3,3,2.69304,1.68148,2018-11-24 14:30:00,0.618,0.1968,0.1852,Bundesliga,2018
10441,True,121,Augsburg,AUG,132,Eintracht Frankfurt,EIN,1,3,2.01274,3.21577,2018-11-24 14:30:00,0.1745,0.1761,0.6494,Bundesliga,2018
10443,True,125,Mainz 05,MAI,129,Borussia Dortmund,DOR,1,2,1.05805,1.08217,2018-11-24 14:30:00,0.318,0.3382,0.3438,Bundesliga,2018
10444,True,131,Wolfsburg,WOL,136,RasenBallsport Leipzig,RBL,1,0,1.54495,0.647326,2018-11-24 14:30:00,0.6638,0.2386,0.0976,Bundesliga,2018
10437,True,124,Schalke 04,SCH,234,Nuernberg,NUE,5,2,2.77116,2.29783,2018-11-24 17:30:00,0.4789,0.2478,0.2733,Bundesliga,2018
10442,True,135,Freiburg,FRE,123,Werder Bremen,WER,1,1,2.98264,2.13569,2018-11-25 14:30:00,0.5771,0.1973,0.2256,Bundesliga,2018
10439,True,130,Borussia M.Gladbach,BMG,128,Hannover 96,HAN,4,1,1.70943,0.459166,2018-11-25 17:00:00,0.7007,0.2196,0.0797,Bundesliga,2018
10452,True,233,Fortuna Duesseldorf,FOR,125,Mainz 05,MAI,0,1,1.10941,1.02576,2018-11-30 19:30:00,0.3691,0.3064,0.3245,Bundesliga,2018
10446,True,129,Borussia Dortmund,DOR,135,Freiburg,FRE,2,0,2.69109,0.143781,2018-12-01 14:30:00,0.9617,0.0358,0.0025,Bundesliga,2018
10448,True,133,VfB Stuttgart,STU,121,Augsburg,AUG,1,0,0.710341,1.64707,2018-12-01 14:30:00,0.1346,0.2395,0.6259,Bundesliga,2018
10450,True,123,Werder Bremen,WER,117,Bayern Munich,BAY,1,2,0.637321,3.29433,2018-12-01 14:30:00,0.018,0.0589,0.9231,Bundesliga,2018
10451,True,128,Hannover 96,HAN,122,Hertha Berlin,HER,0,2,0.54136,2.10742,2018-12-01 14:30:00,0.055,0.1487,0.7963,Bundesliga,2018
10445,True,120,Hoffenheim,HOF,124,Schalke 04,SCH,1,1,2.35914,2.15866,2018-12-01 17:30:00,0.4245,0.2497,0.3258,Bundesliga,2018
10447,True,136,RasenBallsport Leipzig,RBL,130,Borussia M.Gladbach,BMG,2,0,2.39576,0.628352,2018-12-02 14:30:00,0.8158,0.1321,0.0521,Bundesliga,2018
10449,True,132,Eintracht Frankfurt,EIN,131,Wolfsburg,WOL,1,2,1.53625,1.72581,2018-12-02 17:00:00,0.3234,0.2665,0.4101,Bundesliga,2018
10453,True,234,Nuernberg,NUE,119,Bayer Leverkusen,LEV,1,1,0.675448,1.39302,2018-12-03 19:30:00,0.1638,0.2728,0.5634,Bundesliga,2018
10459,True,123,Werder Bremen,WER,233,Fortuna Duesseldorf,FOR,3,1,2.83748,1.37827,2018-12-07 19:30:00,0.7538,0.1712,0.075,Bundesliga,2018
10454,True,117,Bayern Munich,BAY,234,Nuernberg,NUE,3,0,2.8246,0.191129,2018-12-08 14:30:00,0.9521,0.0417,0.0062,Bundesliga,2018
10455,True,124,Schalke 04,SCH,129,Borussia Dortmund,DOR,1,2,1.44761,0.898668,2018-12-08 14:30:00,0.5475,0.2886,0.1639,Bundesliga,2018
10456,True,119,Bayer Leverkusen,LEV,121,Augsburg,AUG,1,0,1.53502,0.768373,2018-12-08 14:30:00,0.5751,0.2569,0.168,Bundesliga,2018
10460,True,135,Freiburg,FRE,136,RasenBallsport Leipzig,RBL,3,0,2.0335,1.23018,2018-12-08 14:30:00,0.6008,0.2266,0.1726,Bundesliga,2018
10462,True,131,Wolfsburg,WOL,120,Hoffenheim,HOF,2,2,0.515385,2.10256,2018-12-08 14:30:00,0.0334,0.1316,0.835,Bundesliga,2018
10458,True,122,Hertha Berlin,HER,132,Eintracht Frankfurt,EIN,1,0,0.243455,1.12526,2018-12-08 17:30:00,0.0724,0.3207,0.6069,Bundesliga,2018
10461,True,125,Mainz 05,MAI,128,Hannover 96,HAN,1,1,3.27966,2.23642,2018-12-09 14:30:00,0.6241,0.1922,0.1837,Bundesliga,2018
10457,True,130,Borussia M.Gladbach,BMG,133,VfB Stuttgart,STU,3,0,2.61136,0.678537,2018-12-09 17:00:00,0.8342,0.1207,0.0451,Bundesliga,2018
10471,True,234,Nuernberg,NUE,131,Wolfsburg,WOL,0,2,0.601572,0.70077,2018-12-14 19:30:00,0.265,0.4,0.335,Bundesliga,2018
10463,True,120,Hoffenheim,HOF,130,Borussia M.Gladbach,BMG,0,0,3.933,0.584205,2018-12-15 14:30:00,0.9655,0.0288,0.0057,Bundesliga,2018
10466,True,133,VfB Stuttgart,STU,122,Hertha Berlin,HER,2,1,1.43807,1.53719,2018-12-15 14:30:00,0.3301,0.2858,0.3841,Bundesliga,2018
10468,True,121,Augsburg,AUG,124,Schalke 04,SCH,1,1,2.00924,0.758425,2018-12-15 14:30:00,0.7085,0.1855,0.106,Bundesliga,2018
10469,True,128,Hannover 96,HAN,117,Bayern Munich,BAY,0,4,0.628893,4.18084,2018-12-15 14:30:00,0.004,0.0256,0.9704,Bundesliga,2018
10470,True,233,Fortuna Duesseldorf,FOR,135,Freiburg,FRE,2,0,2.59785,0.798948,2018-12-15 14:30:00,0.8036,0.1363,0.0601,Bundesliga,2018
10464,True,129,Borussia Dortmund,DOR,123,Werder Bremen,WER,2,1,2.89288,0.461208,2018-12-15 17:30:00,0.9043,0.0747,0.021,Bundesliga,2018
10465,True,136,RasenBallsport Leipzig,RBL,125,Mainz 05,MAI,4,1,4.47536,1.33833,2018-12-16 14:30:00,0.9488,0.0378,0.0134,Bundesliga,2018
10467,True,132,Eintracht Frankfurt,EIN,119,Bayer Leverkusen,LEV,2,1,3.59588,0.744745,2018-12-16 17:00:00,0.9334,0.0493,0.0173,Bundesliga,2018
10479,True,130,Borussia M.Gladbach,BMG,234,Nuernberg,NUE,2,0,3.61765,1.13637,2018-12-18 17:30:00,0.9173,0.0668,0.0159,Bundesliga,2018
10477,True,131,Wolfsburg,WOL,133,VfB Stuttgart,STU,2,0,1.584,0.333514,2018-12-18 19:30:00,0.7146,0.2213,0.0641,Bundesliga,2018
10478,True,233,Fortuna Duesseldorf,FOR,129,Borussia Dortmund,DOR,2,1,1.3731,1.29548,2018-12-18 19:30:00,0.3614,0.3166,0.322,Bundesliga,2018
10480,True,122,Hertha Berlin,HER,121,Augsburg,AUG,2,2,1.74712,0.728652,2018-12-18 19:30:00,0.6532,0.2304,0.1164,Bundesliga,2018
10473,True,124,Schalke 04,SCH,119,Bayer Leverkusen,LEV,1,2,1.84453,0.683564,2018-12-19 17:30:00,0.6904,0.2167,0.0929,Bundesliga,2018
10472,True,117,Bayern Munich,BAY,136,RasenBallsport Leipzig,RBL,1,0,1.81321,0.721767,2018-12-19 19:30:00,0.6754,0.224,0.1006,Bundesliga,2018
10474,True,123,Werder Bremen,WER,120,Hoffenheim,HOF,1,1,2.39195,1.90654,2018-12-19 19:30:00,0.487,0.2247,0.2883,Bundesliga,2018
10475,True,135,Freiburg,FRE,128,Hannover 96,HAN,1,1,1.62711,2.01561,2018-12-19 19:30:00,0.2757,0.2598,0.4645,Bundesliga,2018
10476,True,125,Mainz 05,MAI,132,Eintracht Frankfurt,EIN,2,2,1.61471,1.09488,2018-12-19 19:30:00,0.4943,0.2712,0.2345,Bundesliga,2018
10483,True,129,Borussia Dortmund,DOR,130,Borussia M.Gladbach,BMG,2,1,1.79527,0.517203,2018-12-21 19:30:00,0.7486,0.2094,0.042,Bundesliga,2018
10481,True,234,Nuernberg,NUE,135,Freiburg,FRE,0,1,1.13859,0.318199,2018-12-22 14:30:00,0.6062,0.2976,0.0962,Bundesliga,2018
10484,True,119,Bayer Leverkusen,LEV,122,Hertha Berlin,HER,3,1,1.82482,1.26734,2018-12-22 14:30:00,0.5109,0.2578,0.2313,Bundesliga,2018
10485,True,136,RasenBallsport Leipzig,RBL,123,Werder Bremen,WER,3,2,1.93805,2.10073,2018-12-22 14:30:00,0.3425,0.2471,0.4104,Bundesliga,2018
10486,True,133,VfB Stuttgart,STU,124,Schalke 04,SCH,1,3,1.22362,2.42656,2018-12-22 14:30:00,0.1346,0.1861,0.6793,Bundesliga,2018
10489,True,128,Hannover 96,HAN,233,Fortuna Duesseldorf,FOR,0,1,0.6702,1.13166,2018-12-22 14:30:00,0.2017,0.3195,0.4788,Bundesliga,2018
10487,True,132,Eintracht Frankfurt,EIN,117,Bayern Munich,BAY,0,3,1.31242,2.04036,2018-12-22 17:30:00,0.1834,0.2417,0.5749,Bundesliga,2018
10488,True,121,Augsburg,AUG,131,Wolfsburg,WOL,2,3,0.382344,2.66718,2018-12-23 14:30:00,0.0143,0.0634,0.9223,Bundesliga,2018
10482,True,120,Hoffenheim,HOF,125,Mainz 05,MAI,1,1,2.21326,0.963816,2018-12-23 17:00:00,0.6773,0.2043,0.1184,Bundesliga,2018
10497,True,120,Hoffenheim,HOF,117,Bayern Munich,BAY,1,3,1.1596,3.31311,2019-01-18 19:30:00,0.0485,0.1063,0.8452,Bundesliga,2018
10491,True,133,VfB Stuttgart,STU,125,Mainz 05,MAI,2,3,3.20149,1.17715,2019-01-19 14:30:00,0.8076,0.1201,0.0723,Bundesliga,2018
10492,True,132,Eintracht Frankfurt,EIN,135,Freiburg,FRE,3,1,2.9107,1.54911,2019-01-19 14:30:00,0.7117,0.1674,0.1209,Bundesliga,2018
10493,True,121,Augsburg,AUG,233,Fortuna Duesseldorf,FOR,1,2,0.869957,1.0413,2019-01-19 14:30:00,0.2918,0.3328,0.3754,Bundesliga,2018
10494,True,128,Hannover 96,HAN,123,Werder Bremen,WER,0,1,0.516442,2.168,2019-01-19 14:30:00,0.0523,0.1394,0.8083,Bundesliga,2018
10498,True,119,Bayer Leverkusen,LEV,130,Borussia M.Gladbach,BMG,0,1,1.20925,0.747044,2019-01-19 14:30:00,0.4701,0.308,0.2219,Bundesliga,2018
