team_id,team_title,match_date,home_away,xG,xGA,npxG,npxGA,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts,npxGD,league,year
119,Bayer Leverkusen,2018-09-26 16:30:00,a,1.48071,1.75244,1.48071,0.994659,216,23,311,24,5,8,2,1,1.112,w,1,0,0,3,0.486051,Bundesliga,2018
119,Bayer Leverkusen,2018-09-29 16:30:00,h,1.34044,2.98145,1.34044,2.98145,402,32,221,28,4,8,2,4,0.3886,l,0,0,1,0,-1.64101,Bundesliga,2018
119,Bayer Leverkusen,2018-10-07 11:30:00,a,0.551906,0.501569,0.551906,0.501569,201,26,285,24,3,5,0,0,1.307,d,0,1,0,1,0.0503369999999999,Bundesliga,2018
119,Bayer Leverkusen,2018-10-20 13:30:00,h,2.38988,1.0744,1.6321,1.0744,115,21,216,25,8,3,2,2,2.3313,d,0,1,0,1,0.5577000000000001,Bundesliga,2018
119,Bayer Leverkusen,2018-10-28 16:00:00,a,4.07211,1.49927,4.07211,1.49927,370,16,210,29,8,7,6,2,2.6858,w,1,0,0,3,2.57284,Bundesliga,2018
119,Bayer Leverkusen,2018-11-03 14:30:00,h,2.21447,1.93557,2.21447,1.17779,220,23,286,28,8,4,1,4,1.5549,l,0,0,1,0,1.03668,Bundesliga,2018
119,Bayer Leverkusen,2018-11-11 14:30:00,a,0.443215,2.55127,0.443215,2.55127,200,22,371,27,1,11,0,3,0.1677,l,0,0,1,0,-2.108055,Bundesliga,2018
119,Bayer Leverkusen,2018-11-23 19:30:00,h,2.62916,0.393762,2.62916,0.393762,184,16,308,22,13,3,2,0,2.7542999999999997,w,1,0,0,3,2.235398,Bundesliga,2018
119,Bayer Leverkusen,2018-12-03 19:30:00,a,1.39302,0.675448,1.39302,0.675448,78,28,290,23,6,5,1,1,1.963,d,0,1,0,1,0.7175719999999999,Bundesliga,2018
119,Bayer Leverkusen,2018-12-08 14:30:00,h,1.53502,0.768373,1.53502,0.768373,144,23,264,27,13,2,1,0,1.9821999999999995,w,1,0,0,3,0.7666470000000001,Bundesliga,2018
